id,payload,timeStamp,sensor_id,observation_type_id
24249237,{"client_id":"1de67d8c284c2400bca339080147b4edf0c59283"},"2017-06-06 09:54:18",3141-clwa-1425,1
24249241,{"client_id":"427561bb4bd1e84138248b6468a2fd7ae14c0848"},"2017-06-06 09:54:19",3141-clwe-1100,1
24249244,{"client_id":"4f5330f260d5150e6c09e6c4fc0cb63800d63c1d"},"2017-06-06 09:54:20",3141-clwa-1300,1
24249245,{"client_id":"bcc3283da072800562560f35b39ba19ae9f0fa00"},"2017-06-06 09:54:20",3145-clwa-5019,1
24249246,{"client_id":"265d241b2d578200a0aae32805af846d9c8aded6"},"2017-06-06 09:54:21",3145-clwa-5039,1
24249247,{"client_id":"f25708e27f1fc7f730e2eaeafe7e6575d4fb081c"},"2017-06-06 09:54:21",3141-clwb-1300,1
24249248,{"client_id":"a12ebf2a13c58005ee4c8bebdbf1b24b9c00bc67"},"2017-06-06 09:54:21",3142-clwa-2231,1
24249249,{"client_id":"dce48c21ad809b577302614e43343d5cf296a0e6"},"2017-06-06 09:54:21",3144-clwa-4219,1
24249253,{"client_id":"6515a277ed64874e369b095c178f148a697c479f"},"2017-06-06 09:54:22",3141-clwa-1300,1
24249254,{"client_id":"427561bb4bd1e84138248b6468a2fd7ae14c0848"},"2017-06-06 09:54:22",3141-clwa-1200,1
24249255,{"client_id":"dce48c21ad809b577302614e43343d5cf296a0e6"},"2017-06-06 09:54:22",3144-clwa-4219,1
24249256,{"client_id":"5971af5bef58bb0fcdbcad40e974d5bc77daf2bb"},"2017-06-06 09:54:22",3141-clwc-1100,1
24249260,{"client_id":"3dfa04117f41ed38d13861bdc4c0154532b242d4"},"2017-06-06 09:54:23",3141-clwa-1433,1
24249261,{"client_id":"bcc3283da072800562560f35b39ba19ae9f0fa00"},"2017-06-06 09:54:23",3145-clwa-5019,1
24249264,{"client_id":"1f2ca920ba3f14d494e31c7affcd6c7f5c8960fd"},"2017-06-06 09:54:24",3141-clwa-1200,1
24249265,{"client_id":"452ef455e39dd4001248125f78faf3e175f84f2b"},"2017-06-06 09:54:24",3141-clwa-1200,1
24249269,{"client_id":"755d6f93d3508cbf5b584471a8664586d6e9b0c4"},"2017-06-06 09:54:25",3141-clwa-1100,1
24249270,{"client_id":"bb441bae794790b01a836ad099e7d9cea1d5f872"},"2017-06-06 09:54:25",3141-clwe-1100,1
24249271,{"client_id":"896f5a9c427c796f3bea4a727143bd2482a0a2b6"},"2017-06-06 09:54:25",3141-clwa-1427,1
24249283,{"client_id":"e8810157f8d2e0896d8a073d7a2cabbefa3e5174"},"2017-06-06 09:54:31",3144-clwa-4059,1
24249284,{"client_id":"cb8f8fb7335cb4f25382c9e98529fd81af8b0b3b"},"2017-06-06 09:54:31",3141-clwd-1100,1
24249285,{"client_id":"77fcd1c091bd0d44f58c6c6428c12cb6943d971d"},"2017-06-06 09:54:31",3141-clwa-1420,1
24249286,{"client_id":"265d241b2d578200a0aae32805af846d9c8aded6"},"2017-06-06 09:54:31",3145-clwa-5039,1
24249290,{"client_id":"e9c76197f2c5f3710ac42e151fc3a57338c016a6"},"2017-06-06 09:54:33",3141-clwa-1100,1
24249291,{"client_id":"ed6f0eebee068c846807ddf32f79da2b8bf4daab"},"2017-06-06 09:54:33",3141-clwb-1300,1
24249297,{"client_id":"8a75580a2fbc2f7c66abb6f0fb454797246d3f44"},"2017-06-06 09:54:34",3141-clwb-1200,1
24249298,{"client_id":"1f2ca920ba3f14d494e31c7affcd6c7f5c8960fd"},"2017-06-06 09:54:34",3141-clwa-1100,1
24249299,{"client_id":"cb8f8fb7335cb4f25382c9e98529fd81af8b0b3b"},"2017-06-06 09:54:34",3142-clwa-2231,1
24249300,{"client_id":"b0d3222b4a86f9767b3e30fc079d80a3653a8953"},"2017-06-06 09:54:34",3143-clwa-3039,1
24249301,{"client_id":"ed6f0eebee068c846807ddf32f79da2b8bf4daab"},"2017-06-06 09:54:34",3141-clwb-1300,1
24249302,{"client_id":"b0d3222b4a86f9767b3e30fc079d80a3653a8953"},"2017-06-06 09:54:34",3143-clwa-3039,1
24249305,{"client_id":"6515a277ed64874e369b095c178f148a697c479f"},"2017-06-06 09:54:35",3141-clwa-1200,1
24249306,{"client_id":"f25708e27f1fc7f730e2eaeafe7e6575d4fb081c"},"2017-06-06 09:54:35",3141-clwe-1100,1
24249308,{"client_id":"0cb15565650f254c795927c314433207f16189b1"},"2017-06-06 09:54:36",3141-clwc-1100,1
24249312,{"client_id":"71a87b86ae5a3bf75e65e34d2a15e44df58b56cb"},"2017-06-06 09:54:38",3141-clwb-1200,1
24249313,{"client_id":"b0d3222b4a86f9767b3e30fc079d80a3653a8953"},"2017-06-06 09:54:38",3143-clwa-3039,1
24249315,{"client_id":"6fd10a34363a7fcc106d30f6d490c785140c4d54"},"2017-06-06 09:54:39",3146-clwa-6122,1
24249316,{"client_id":"265d241b2d578200a0aae32805af846d9c8aded6"},"2017-06-06 09:54:39",3146-clwa-6029,1
24249323,{"client_id":"188fefcd093e8026aeeab34f5734229d8782e583"},"2017-06-06 09:54:40",3141-clwa-1100,1
24249324,{"client_id":"0cb15565650f254c795927c314433207f16189b1"},"2017-06-06 09:54:40",3141-clwa-1300,1
24249326,{"client_id":"b0d3222b4a86f9767b3e30fc079d80a3653a8953"},"2017-06-06 09:54:41",3143-clwa-3039,1
24249327,{"client_id":"ed6f0eebee068c846807ddf32f79da2b8bf4daab"},"2017-06-06 09:54:41",3141-clwb-1300,1
24249328,{"client_id":"a1f7d2b4d138994f4f400bd94b866d11926482da"},"2017-06-06 09:54:42",3141-clwd-1100,1
24249329,{"client_id":"6fd10a34363a7fcc106d30f6d490c785140c4d54"},"2017-06-06 09:54:42",3146-clwa-6131,1
24249330,{"client_id":"cb8f8fb7335cb4f25382c9e98529fd81af8b0b3b"},"2017-06-06 09:54:44",3142-clwa-2209,1
24249331,{"client_id":"2029c0ade953ff70368b35840939c229c6d8844a"},"2017-06-06 09:54:44",3141-clwb-1100,1
24249338,{"client_id":"ee24e5ba11b783056d37d1f595311c98a5dc8564"},"2017-06-06 09:54:45",3145-clwa-5219,1
24249339,{"client_id":"d2616dfd10d2cd5045cefa8b4d22372ef180de91"},"2017-06-06 09:54:45",3141-clwa-1423,1
24249341,{"client_id":"200091c8ad6ff967f2b8baeb52bf968fdb6690a9"},"2017-06-06 09:54:45",3146-clwa-6122,1
24249343,{"client_id":"cb8f8fb7335cb4f25382c9e98529fd81af8b0b3b"},"2017-06-06 09:54:45",3141-clwc-1100,1
24249344,{"client_id":"8b46435c888f5050ef6e932c91d155b9746f73e8"},"2017-06-06 09:54:45",3145-clwa-5099,1
24249348,{"client_id":"b2f4246e39e1f9e72139179abf8fe6a8a5114eb0"},"2017-06-06 09:54:47",3141-clwb-1200,1
24249349,{"client_id":"bc3968f2205248ef26e203b4b0eee53c95968891"},"2017-06-06 09:54:47",3141-clwc-1100,1
24249350,{"client_id":"dce48c21ad809b577302614e43343d5cf296a0e6"},"2017-06-06 09:54:48",3144-clwa-4219,1
24249351,{"client_id":"96ed36c2e61b1705dbb28b5de493099c1a7b7f3d"},"2017-06-06 09:54:48",3141-clwb-1200,1
24249352,{"client_id":"265d241b2d578200a0aae32805af846d9c8aded6"},"2017-06-06 09:54:48",3146-clwa-6029,1
24249353,{"client_id":"896f5a9c427c796f3bea4a727143bd2482a0a2b6"},"2017-06-06 09:54:48",3141-clwa-1412,1
