id,description,name,sensorIP,sensorPort,coverage_id,location_id,user_id,platform_id,sensor_type_id
3141-clwa-1100,"Wifi Access Points in DBH","WifiAP 3141-clwa-1100",NULL,NULL,65,21,185,NULL,1
3141-clwa-1200,"Wifi Access Points in DBH","WifiAP 3141-clwa-1200",NULL,NULL,66,21,185,NULL,1
3141-clwa-1300,"Wifi Access Points in DBH","WifiAP 3141-clwa-1300",NULL,NULL,67,21,185,NULL,1
3141-clwa-1412,"Wifi Access Points in DBH","WifiAP 3141-clwa-1412",NULL,NULL,68,21,185,NULL,1
3141-clwa-1420,"Wifi Access Points in DBH","WifiAP 3141-clwa-1420",NULL,NULL,69,21,185,NULL,1
3141-clwa-1422,"Wifi Access Points in DBH","WifiAP 3141-clwa-1422",NULL,NULL,70,21,185,NULL,1
3141-clwa-1423,"Wifi Access Points in DBH","WifiAP 3141-clwa-1423",NULL,NULL,71,21,185,NULL,1
3141-clwa-1425,"Wifi Access Points in DBH","WifiAP 3141-clwa-1425",NULL,NULL,72,21,185,NULL,1
3141-clwa-1427,"Wifi Access Points in DBH","WifiAP 3141-clwa-1427",NULL,NULL,73,21,185,NULL,1
3141-clwa-1429,"Wifi Access Points in DBH","WifiAP 3141-clwa-1429",NULL,NULL,74,21,185,NULL,1
3141-clwa-1431,"Wifi Access Points in DBH","WifiAP 3141-clwa-1431",NULL,NULL,75,21,185,NULL,1
3141-clwa-1433,"Wifi Access Points in DBH","WifiAP 3141-clwa-1433",NULL,NULL,76,21,185,NULL,1
3141-clwa-1500,"Wifi Access Points in DBH","WifiAP 3141-clwa-1500",NULL,NULL,77,21,185,NULL,1
3141-clwa-1600,"Wifi Access Points in DBH","WifiAP 3141-clwa-1600",NULL,NULL,78,21,185,NULL,1
3141-clwb-1100,"Wifi Access Points in DBH","WifiAP 3141-clwb-1100",NULL,NULL,79,21,185,NULL,1
3141-clwb-1200,"Wifi Access Points in DBH","WifiAP 3141-clwb-1200",NULL,NULL,80,21,185,NULL,1
3141-clwb-1300,"Wifi Access Points in DBH","WifiAP 3141-clwb-1300",NULL,NULL,81,21,185,NULL,1
3141-clwb-1600,"Wifi Access Points in DBH","WifiAP 3141-clwb-1600",NULL,NULL,82,21,185,NULL,1
3141-clwc-1100,"Wifi Access Points in DBH","WifiAP 3141-clwc-1100",NULL,NULL,83,21,185,NULL,1
3141-clwd-1100,"Wifi Access Points in DBH","WifiAP 3141-clwd-1100",NULL,NULL,84,21,185,NULL,1
